Landfill_ID,Landfill_Name,Landfill_Alias,State,City,County,Zipcode,Latitude,Longitude,Ownership_Type,Year_opened,Landfill_Closure_Year,Status,Current_Area,Current_Depth,Design_Capacity_tons,Waste_in_Place_tons,Annual_waste_acceptance_rate_tons
279,Simi Valley LF,,CA,Simi Valley,Ventura,93065.0,34.294540000000005,-118.79543999999999,Private,1970.0,2063.0,Open,143.7,,138635608.0,31173241.0,2150580.0
2071,King George Landfill Inc.,,VA,King George,King George,22485.0,38.26964,-77.30596,Public,1996.0,2040.0,Open,204.8,,55916748.0,31120393.0,1801191.0
1415,Middle Point Landfill,,TN,Murfreesboro,Rutherford,37130.0,35.94083,-86.35837,Private,1988.0,2028.0,Open,172.4,,41276585.0,29928464.0,963086.0
2162,"Operating Industries, Inc. LF (OII)",Monterey Park Landfill,CA,Monterey Park,Los Angeles,91754.0,34.031,-118.10799999999999,Private,1948.0,1984.0,Closed,190.0,,,29920000.0,613000.0
516,Milam Recycling and Disposal Facility,,IL,East St. Louis,St. Clair,62201.0,38.6547,-90.1302,Private,1965.0,2034.0,Open,185.0,,40550641.0,29903905.0,808056.0
567,Twin Bridges RDF,Danville LF; Danville RDF,IN,Danville,Hendricks,46122.0,39.75,-86.5,Private,1973.0,2039.0,Open,173.4,124.0,47996636.0,28621989.0,761276.0
1874,Roxana LF,Cahokia Road Sanitary Landfill/Laidlaw Waste Systems Incorp.,IL,Edwardsville,Madison,62025.0,38.8274,-90.0125,Private,1975.0,2049.0,Open,133.5,138.0,58479108.0,28399509.0,1231746.0
11120,Forward Landfill,Forward Inc. Landfill,CA,Manteca,San Joaquin,95336.0,37.874624,-121.1833,Private,1973.0,2042.0,Open,157.0,,32882079.0,27940598.0,911265.0
87,Calabasas SLF,,CA,Agoura Hills,Los Angeles,91301.0,34.14862,-118.70953,Public,1961.0,2040.0,Open,315.1,120.0,30930000.0,27820084.0,646001.0
1883,Ottawa County Farms Landfill,,MI,Coopersville,Ottawa,49404.0,43.0502,-85.95682,Private,1982.0,2065.0,Open,160.5,87.0,65589451.0,27724971.0,875290.0
309,Vasco Road SLF,,CA,Livermore,Alameda,94550.0,37.75333,-121.72333,Private,1962.0,2030.0,Open,204.2,,29915008.0,27697167.0,629390.0
963,HMDC 1-C LF,HMDC 1-E LF; MSLA 1-C LF,NJ,Kearny,Hudson,,,,Public,1950.0,1987.0,Closed,,,,26994601.0,1350000.0
1467,Arlington LF,City of Arlington LF,TX,Euless,Tarrant,76040.0,32.8,-97.108334,Public,1965.0,2062.0,Open,248.5,60.0,28547930.0,26760100.0,999762.0
1576,Shoosmith SLF,Virginia Waste Services Sanitary Landfill,VA,Chester,Chesterfield,23831.0,37.3512,-77.4956,Private,1976.0,2070.0,Open,164.0,,36774894.0,26155423.0,978602.0
1456,Skyline LF,,TX,Ferris,Dallas,75125.0,32.549,-96.68,Private,1950.0,2042.0,Open,223.4,,68016426.0,25930783.0,1588377.0
1175,Franklin County SLF,,OH,Grove City,Franklin,43123.0,39.84186,-83.10904000000001,Public,1985.0,2062.0,Open,164.5,165.0,96748841.0,25610176.0,1236050.0
1681,Metro RDF,,WI,Franklin,Milwaukee,53132.0,42.849509999999995,-88.065,Private,1951.0,2032.0,Open,155.0,,36432221.0,25557633.0,805492.0
1497,Seabreeze Environmental Landfill,Brazoria County Disposal LF,TX,Angleton,Brazoria,77515.0,29.090834,-95.36,Private,1974.0,2037.0,Open,217.4,30.0,48694734.0,24649546.0,974589.0
972,High Acres LF and Recycling Center,High Acres LF,NY,Fairport,Monroe,14450.0,43.08695,-77.37943,Private,1972.0,2053.0,Open,187.5,129.0,70539073.0,24338458.0,1145591.0
11621,J.E.D. Solid Waste Management Facility,Oak Hammock Disposal; Omni Landfill; J.E.D. Landfill,FL,St. Cloud,Osceola,34773.0,28.064,-81.098,Private,2004.0,2056.0,Open,100.0,,83003742.0,24292755.0,1762733.0
1780,Palos Verdes Landfill,,CA,Rolling Hills Estates,Los Angeles,90274.0,33.79189,-118.35243,Public,1952.0,1980.0,Closed,29.9,,,24048240.0,1385091.0
1939,South Side Landfill Inc.,South Side LFG Recovery Project,IN,Indianapolis,Marion,46221.0,39.727940000000004,-86.20846999999999,Private,1971.0,2039.0,Open,255.5,,51050160.0,23957886.0,1209611.0
1855,Sauk Trail Hills Landfill,Canton Landfill; Sauk Trail Hills Development,MI,Canton,Wayne,48188.0,42.2744,-83.4563,Private,1975.0,2033.0,Open,147.0,133.0,35920234.0,23862571.0,753468.0
338,Mid-Valley Sanitary LF,Fontana Refuse Disposal Site,CA,Rialto,San Bernardino,92377.0,34.14333,-117.43,Public,1958.0,2045.0,Open,409.0,150.0,74468246.0,23789083.0,1257459.0
1812,Blue Ridge LF,,TX,Fresno,Fort Bend,77545.0,29.5559,-95.4419,Private,1993.0,2110.0,Open,239.0,,25513290.0,23494698.0,994153.0
2289,River Birch Landfill,,LA,Avondale,Jefferson,70094.0,29.932,-90.258,Private,1999.0,2045.0,Open,207.5,,50494500.0,23412942.0,1320550.0
832,Champ Landfill,North SLF; Fred Weber SLF; IESI Champ Landfill,MO,Maryland Heights,St. Louis,63043.0,38.743,-90.46,Private,1974.0,2086.0,Open,110.5,,94181437.0,23376463.0,971277.0
2323,Winnebago Landfill,Pagel Landfill; Pagel Pit,IL,Rockford,Winnebago,61109.0,42.1597,-89.0554,Private,1972.0,2037.0,Open,,,44201408.0,23175993.0,3087372.0
2303,Pine Bluff Landfill,,GA,Ball Ground,Cherokee,30107.0,34.273,-84.387,Private,1990.0,2065.0,Open,134.3,,81571211.0,23150884.0,1039707.0
1885,Riverview Land Preserve,,MI,Riverview,Wayne,48193.0,42.156209999999994,-83.21208,Public,1968.0,2031.0,Open,211.3,120.0,39006679.0,22996089.0,779000.0
1464,Austin Community RDF,,TX,Austin,Travis,78754.0,30.34522,-97.61395,Private,1981.0,2025.0,Open,184.0,94.0,28568616.0,22963487.0,943983.0
251,Prima Deshecha SLF,,CA,San Juan Capistrano,Orange,92675.0,33.486540000000005,-117.62491000000001,Public,1976.0,2067.0,Open,240.0,210.0,119092732.0,22937635.0,606514.0
2266,Pine Ridge Landfill,Pine Ridge Recycling,GA,Griffin,Butts,30223.0,33.240017,-84.118684,Private,1997.0,2046.0,Open,148.0,,37266389.0,22646967.0,943835.0
1770,Los Reales Landfill,,AZ,Tucson,Pima,85756.0,32.1192,-110.88,Public,1967.0,2089.0,Open,222.6,,26163223.0,22608148.0,710935.0
2336,"Sampson County Disposal, LLC",,NC,Roseboro,Sampson,28382.0,34.982,-78.457,Private,2000.0,2041.0,Open,134.4,,44356712.0,22545363.0,1704122.0
494,Zion Landfill,"Winthrop Harbor Landfill; Waukegan Landfill; Veolia ES Zion Landfill, Inc.",IL,Zion,Lake,60099.0,42.48483,-87.88497,Private,1975.0,2027.0,Open,175.0,100.0,32125498.0,22421189.0,600495.0
1489,Sunset Farms Landfill,,TX,Austin,Travis,78754.0,30.335,-97.625,Private,1982.0,2015.0,Closed,257.8,81.0,26630028.0,22281720.0,643566.0
1306,"Adams Sanitation Company, Inc. Landfill",Adsco,PA,Hanover,Adams,17331.0,39.7265,-77.0365,Private,1970.0,1993.0,Closed,108.0,,,22078368.0,919932.0
1938,Liberty Landfill,,IN,Monticello,White,47960.0,40.885999999999996,-86.7,Private,1982.0,2028.0,Open,118.6,,36620815.0,21905462.0,1417239.0
380,Brevard County Central Disposal Facility,Central Disposal/ Emergency LF,FL,Cocoa,Brevard,32926.0,28.3971,-80.8296,Public,1972.0,2020.0,Closed,198.0,110.0,22777328.0,21448507.0,949602.0
1255,Grand Central SLF,,PA,Pen Argyl,Northampton,18072.0,40.8581,-75.2619,Private,1980.0,2028.0,Open,152.3,78.0,23579638.0,21393026.0,637608.0
993,Modern Landfill Inc,,NY,Youngstown,Niagara,14174.0,43.210708000000004,-78.97899699999999,Private,1983.0,2038.0,Open,139.0,,29326500.0,21379511.0,900154.0
1786,Northwest Regional MSW Landfill,,AZ,Surprise,Maricopa,85387.0,33.678000000000004,-112.48100000000001,Private,1983.0,2114.0,Open,133.3,127.0,149489019.0,21250933.0,1133749.0
405,Trail Ridge Landfill Inc.,Trail Ridge LF,FL,Baldwin,Duval,32234.0,30.2246,-82.0447,Public,1992.0,2083.0,Open,148.0,135.0,89656690.0,21244408.0,837395.0
1480,Camelot Landfill,City of Farmers Branch LF,TX,Lewisville,Denton,75056.0,33.029167,-96.95100000000001,Public,1980.0,2036.0,Open,178.9,,50389024.0,21185751.0,1016375.0
1854,Richland County Landfill,Screaming Eagle LF,SC,Elgin,Richland,29045.0,34.1042,-80.782,Private,1972.0,2043.0,Open,145.3,,48339934.0,21151184.0,982448.0
184,Keller Canyon LF,,CA,Pittsburg,Contra Costa,94565.0,38.00472,-121.93611000000001,Private,1992.0,2074.0,Open,103.5,191.0,74562762.0,21057754.0,1121992.0
554,National Serv-All LF,MacBeth Road Landfill,IN,Fort Wayne,Allen,46809.0,41.03109,-85.21634,Private,1966.0,2058.0,Open,272.4,,35943069.0,21008766.0,755885.0
624,Metro Park East Landfill,Metro Methane Recovery Facility,IA,Mitchellville,Polk,50169.0,41.600722,-93.345265,Public,1972.0,2057.0,Open,268.1,120.0,62610716.0,20521807.0,736060.0
2444,King and Queen Landfill,,VA,Little Plymouth,King and Queen,23091.0,37.665,-76.77,Public,1993.0,2044.0,Open,160.0,,62110631.0,20073484.0,683464.0
716,Woodside SLF & Recycling Center,Livingston Parish LF,LA,Walker,Livingston,70785.0,30.488459999999996,-90.82688,Private,1987.0,2053.0,Open,108.6,,43406439.0,20033175.0,847848.0
491,Settler's Hill Recycling & Disposal Facility,Midway Landfill,IL,Batavia,Kane,60510.0,41.86965,-88.28543,Public,1968.0,2006.0,Closed,288.0,,,19560637.0,1047698.0
250,Potrero Hills SLF,,CA,Suisun City,Solano,94585.0,38.22333,-121.97778000000001,Private,1986.0,2057.0,Open,148.0,,,19508129.0,1177598.0
454,Richland Creek Road Landfill,UWL Inc-Richland Creek Road,GA,Buford,Gwinnett,30518.0,34.126999999999995,-84.0353,Private,1989.0,2031.0,Open,173.0,,23232703.0,19045819.0,886402.0
11040,Land Recovery Landfill,Land Recovery Inc. 304th Street Landfill,WA,Graham,Pierce,98338.0,46.971000000000004,-122.2905,Private,1999.0,2032.0,Open,88.8,,32251058.0,18994542.0,1253918.0
12061,Apex Sanitary Landfill,,OH,Amsterdam,Jefferson,43903.0,40.435,-80.91,Private,2005.0,2037.0,Open,82.0,,75254145.0,18966807.0,1669600.0
1584,Bethel LF,"Big Bethel LF SLF Incorporated; USA Waste of Virginia Landfills, Inc.",VA,Hampton,Hampton city,23666.0,37.07201,-76.42704,Private,1975.0,2093.0,Open,146.6,146.0,52449240.0,18892738.0,766431.0
1575,Charles City County SLF,Chambers Charles City LF; Chambers LF; Charles City LF,VA,Charles City,Charles City,23030.0,37.43919,-77.13331,Private,1990.0,2053.0,Open,139.0,95.0,45170371.0,18703275.0,753794.0
2053,PBCSWA RRF Site #7,West Palm Beach #7; NCRRF (Site 7); North County LF; Palm Beach Renewable Energy Park (PBREP),FL,West Palm Beach,Palm Beach,33412.0,26.763,-80.137436,Public,1989.0,2063.0,Open,206.5,,50967207.0,18141170.0,615586.0
1001,Niagara Falls Landfill,"Niagara Recycling, Incorporated",NY,Niagara Falls,Niagara,14304.0,43.090759999999996,-78.9998,Private,1971.0,2025.0,Open,205.0,,22822752.0,18127355.0,602466.0
2277,Front Range Landfill,,CO,Erie,Weld,80516.0,40.020405,-105.01267299999999,Private,1996.0,2048.0,Open,78.3,,39434597.0,17971193.0,1873057.0
12162,"Sunny Farms Landfill, LLC",,OH,Fostoria,Seneca,44830.0,41.108433000000005,-83.413297,Private,1970.0,2039.0,Open,116.2,,35722859.0,17860046.0,1804989.0
10403,Eagle Point Landfill LLC,,GA,Ball Ground,Forsyth,30107.0,34.325556,-84.240833,Private,2002.0,2035.0,Open,81.5,,33782096.0,17807184.0,981156.0
10400,"Chesser Island Road Landfill, Inc. MSWL",,GA,Folkston,Charlton,31537.0,30.7079,-82.0811,Private,1992.0,2065.0,Open,82.0,200.0,67042073.0,17182772.0,1713227.0
1463,City of Fort Worth Southeast Landfill,,TX,Forest Hill,Tarrant,76140.0,32.647501,-97.239168,Public,1969.0,2036.0,Open,129.5,,32702781.0,17078673.0,954433.0
10180,R & B (Banks) Landfill,Chambers R & B Landfill,GA,Homer,Banks,30547.0,34.35184,-83.42719,Private,1988.0,2052.0,Open,110.6,,34472200.0,16940887.0,1373938.0
1246,Coffin Butte LF,,OR,Corvallis,Benton,97330.0,44.69915,-123.22506000000001,Private,1978.0,2044.0,Open,82.0,,39154705.0,16817397.0,1033753.0
467,Live Oak LF,,GA,Conley,DeKalb,30288.0,33.6706,-84.3428,Private,1986.0,2004.0,Closed,130.0,,16745406.0,16745404.0,1129033.0
1511,Texas Disposal Systems LF,,TX,Creedmoor,Travis,78610.0,30.109,-97.757,Private,1991.0,2046.0,Open,101.0,,31176902.0,16672244.0,1023445.0
1006,Ontario County SLF,,NY,Stanley,Ontario,14561.0,42.8591,-77.0804,Public,1974.0,2028.0,Open,106.1,,19634655.0,16545573.0,1013964.0
483,Greene Valley RDF,Greene Valley LF,IL,Naperville,DuPage,60565.0,41.73045,-88.07444,Public,1974.0,1996.0,Closed,14.0,,16282282.0,16282279.0,707925.0
961,L & D LF,East Hampton Power Production Plant; Landfill and Development,NJ,Mount Holly,Burlington,8060.0,39.9835,-74.7725,Private,1968.0,1986.0,Closed,151.0,,16271044.0,16271041.0,856371.0
943,Gloucester County Solid Waste Complex,Gloucester County SLF,NJ,Swedesboro,Gloucester,8085.0,39.7125,-75.285,Public,1987.0,2050.0,Open,,,16317000.0,16193825.0,1006966.0
1790,Skunk Creek Landfill,,AZ,Phoenix,Maricopa,85027.0,33.712759999999996,-112.12763999999999,Public,1973.0,2005.0,Closed,422.9,,16125406.0,16125406.0,1011198.0
1198,Kimble Sanitary LF,,OH,Dover,Tuscarawas,44622.0,40.511390000000006,-81.54137,Private,1960.0,2040.0,Open,96.1,175.0,40731297.0,16087293.0,1190729.0
475,Lake LF,,IL,Northbrook,Cook,60062.0,42.1055,-87.8125,Private,1970.0,1993.0,Closed,167.0,,15786502.0,15786494.0,657771.0
55,Badlands SLF,,CA,Moreno Valley,Riverside,92555.0,33.95349,-117.11758,Public,1966.0,2040.0,Open,109.6,140.0,27562500.0,15382327.0,886790.0
2245,Noble Road LF,Oakland Marsh LF; Milliron Landfill,OH,Shiloh,Richland,44878.0,40.97586,-82.48737,Private,1997.0,2033.0,Open,45.5,,30033660.0,15322161.0,1152078.0
2000,Oakridge Landfill Inc.,,SC,Dorchester,Dorchester,29437.0,33.135913,-80.3963,Private,1987.0,2043.0,Open,116.3,200.0,31635415.0,15149999.0,849762.0
42,American Avenue Landfill,,CA,Kerman,Fresno,93630.0,36.66171,-120.1457,Public,1971.0,2044.0,Open,246.0,100.0,26838800.0,14940418.0,655171.0
409,Springhill Regional Landfill,Springhill North LF & Springhill South LF,FL,Campbellton,Jackson,32426.0,30.92104,-85.42854,Private,1983.0,2074.0,Open,128.7,131.0,50527993.0,14932511.0,1016942.0
1667,Glacier Ridge Landfill LLC,"Hechimovich SLF; Veolia ES Glacier Ridge Landfill, LLC",WI,Horicon,Dodge,53032.0,43.465,-88.555,Private,1960.0,2025.0,Open,125.9,80.0,18245763.0,14696501.0,665982.0
1226,Oklahoma City Landfill,Oklahoma LF,OK,Oklahoma City,Oklahoma,73128.0,35.4455,-97.64,Private,1981.0,2025.0,Open,131.1,,,14120663.0,659973.0
992,Mill Seat LF,Riga/Mill Seat Landfill,NY,Bergen,Monroe,14416.0,43.06504,-77.9328,Public,1993.0,2060.0,Open,90.0,,40423919.0,13804946.0,741782.0
1772,Southwest Regional Landfill,Buckeye,AZ,Buckeye,Maricopa,85326.0,33.34469,-112.62391000000001,Public,1997.0,2131.0,Open,101.0,,29004965.0,13751463.0,749882.0
2152,Hickory Meadows Landfill LLC,"Veolia ES Hickory Meadows Landfill, LLC",WI,Hilbert,Calumet,54129.0,44.105,-88.19200000000001,Private,1999.0,2029.0,Open,57.0,,21088169.0,13285697.0,727662.0
1242,Finley Buttes Regional Landfill,,OR,Boardman,Morrow,97818.0,45.7447,-119.62299999999999,Private,1990.0,2242.0,Open,89.7,,85014551.0,13264077.0,757471.0
987,Chaffee LF,CID Landfill,NY,Chaffee,Erie,14030.0,42.582,-78.505,Private,1958.0,2026.0,Open,86.0,102.0,16022743.0,13243924.0,692930.0
485,Esarey Landfill,Esarey LF,IL,White Hall,Greene,,,,Private,1974.0,1993.0,Closed,,,,12919592.0,1202280.0
268,San Marcos LF,,CA,San Marcos,San Diego,92078.0,33.07833,-117.165,Public,1979.0,1997.0,Closed,102.0,,12902208.0,12902208.0,679064.0
1270,Blue Ridge Landfill,R. & A. Bender LF,PA,Chambersburg,Franklin,17202.0,39.97204,-77.55683,Private,1973.0,2035.0,Open,140.0,,24873975.0,12778397.0,753231.0
1260,Cumberland County LF,"Community Refuse Service Incorporated LF; Hopewell LF, Newton LF",PA,Shippensburg,Cumberland,17257.0,40.1344,-77.5039,Private,1974.0,2026.0,Open,145.3,,18646491.0,12600745.0,713880.0
12141,State Route 85 Landfill,,AZ,Buckeye,Maricopa,85326.0,33.178917,-112.66485,Public,2006.0,2100.0,Open,94.0,,29510617.0,12554889.0,865640.0
