               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.027376,           0.0059467,                   0,             0.22914,             0.17778,             0.12837,            0.044151,            0.061627,            0.014327,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.027515,           0.0059074,                   0,              0.2577,             0.22963,             0.19758,             0.06116,            0.061211,             0.01429,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.027383,           0.0059864,                   0,             0.21756,                 0.2,             0.14587,            0.038451,            0.061431,            0.014559,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.025918,           0.0056911,                   0,             0.21013,             0.17778,              0.1162,             0.04038,            0.061497,            0.015156,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.026032,           0.0057315,                   0,             0.27165,             0.18519,             0.16614,            0.052209,            0.063951,            0.014698,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.026161,           0.0057978,                   0,             0.20731,             0.15499,             0.11487,             0.04398,            0.061777,            0.014075,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.024984,           0.0057905,                   0,             0.27521,             0.14074,             0.13534,            0.047386,             0.06343,            0.014884,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.025926,            0.005771,                   0,             0.23848,             0.19259,             0.17123,            0.059358,            0.063107,            0.014429,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.025816,           0.0058756,                   0,              0.2399,            0.096296,            0.085017,            0.029636,            0.064141,            0.014002,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.025709,           0.0057449,                   0,             0.23055,             0.15556,             0.11815,             0.03468,            0.061582,            0.014035,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,             0.02602,           0.0056695,                   0,             0.18638,             0.12593,            0.099544,            0.035081,            0.064033,            0.014767,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,             0.02743,           0.0057128,                   0,             0.27016,             0.14815,             0.12583,            0.046537,            0.063459,             0.01345,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.026507,           0.0056933,                   0,             0.24497,             0.18506,             0.14791,            0.042265,            0.062744,            0.015195,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.025651,           0.0054652,                   0,             0.19313,             0.18519,             0.13389,            0.049457,            0.062304,            0.015051,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.025193,           0.0056309,                   0,             0.24959,             0.12593,             0.11805,            0.037242,            0.063256,            0.014689,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.025182,           0.0055585,                   0,             0.21888,                 0.2,             0.15874,            0.052554,            0.062397,            0.014501,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.025646,           0.0056584,                   0,             0.26552,             0.20741,               0.172,            0.050514,            0.062483,            0.013609,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.023997,           0.0053427,                   0,             0.20867,             0.20741,             0.17137,            0.060964,            0.063711,            0.014411,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,             0.02372,           0.0053818,                   0,             0.23577,             0.15556,             0.14915,            0.049526,            0.061724,            0.014681,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.024508,           0.0052517,                   0,             0.13333,             0.13333,            0.092238,            0.039053,            0.061266,            0.015096,                   0,           0.0089065,           0.0089065,           0.0089065
