Landfill_ID,Landfill_Name,Landfill_Alias,State,Address,City,County,Zipcode,Latitude,Longitude,Ownership_Type,Year_opened,Landfill_Closure_Year,Status,Current_Area,Current_Depth,Design_Capacity_tons,Waste_in_Place_tons,Annual_waste_acceptance_rate_tons
1809,Hillside Landfill,,TX,Nelson Road,Sherman,Grayson,75090,33.582,-96.536,Private,1977,2136,Open,73.6,84,"12,882,438","4,607,942","62,246"
319,West Central LF,Clear Creek LF,CA,14095 Clear Creek Road,Igo,Shasta,96047,40.48156,-122.53498,Public,1982,2033,Open,87.8,80,"6,810,601","4,602,053","157,165"
1457,Maxwell Creek LF,,TX,"INT of Hooper & Hensley
1 mile S. of 544",Wylie,Collin,75098,32.999,-96.5796,Public,1982,2005,Closed,138.8,35,"4,593,218","4,593,218","191,384"
10860,Arrowhead Landfill,Perry County Associates Landfill,AL,"On Cahaba Road
Entrance at 626 Tayloe Road",Uniontown,Perry,36786,32.413,-87.4685,Private,2007,2099,Open,,,"36,527,758","4,583,042","52,139"
1277,"Chestnut Valley Landfill, Inc.","J&J LF; Onyx CBF, Inc. LF",PA,1184 McClellandtown Road,McClellandtown,Fayette,15458,39.897,-79.8388,Private,1960,2024,Open,44,,"5,069,721","4,581,515","149,324"
450,Dougherty County Fleming/Gaissert Road LF,,GA,900 Gaissert Road,Albany,Dougherty,31705,31.532784,-84.028353,Public,1983,2050,Open,112.3,50,"8,916,325","4,578,444","129,096"
1292,Northwest SLF,,PA,1436 West Sunbury Road,West Sunbury,Butler,16061,41.019046,-79.901903,Private,1991,2026,Open,51.5,,"6,168,881","4,571,620","119,862"
1830,Pigeon Point Landfill,,DE,1101 Lambson Lane,New Castle,New Castle,19720,39.7054,-75.5326,Public,1966,1985,Closed,141.3,50,"4,547,062","4,547,062","227,353"
10300,Iowa City SLF,Iowa City Landfill and Recycling Center,IA,3900 Hebl Avenue SW,Iowa City,Johnson,52240,41.645,-91.624,Public,1972,2040,Open,137.4,100,"7,894,893","4,543,514","131,580"
1727,Mesa County Landfill,Orchard Mesa SWDS,CO,3071 U.S. Highway 50,Grand Junction,Mesa,81503,39.012,-108.492,Public,1983,2050,Open,127,,"9,496,740","4,542,797","181,102"
717,Tangipahoa Parish Regional Solid Waste Facility,,LA,57510 Hano Road,Independence,Tangipahoa,70443,30.6862,-90.5653,Public,1987,2047,Open,48,40,"8,941,531","4,541,957","155,299"
12210,Cactus Landfill,,AZ,22481 East Deep Well Ranch Road,Florence,Pinal,85132,32.7679,-111.3223,Private,2004,2407,Open,41.4,,"168,028,763","4,534,471","361,670"
52,Avenal Regional Landfill,,CA,"201 North Hydril Road
1200 Skyline Boulevard",Avenal,Kings,93204,36.01195,-120.11535,Public,1976,2108,Open,56.2,,"20,803,561","4,511,277","146,392"
671,"Cooksey Brothers Disposal Company, Inc. LF",,KY,401 North Big Run Road,Ashland,Boyd,41102,38.3676,-82.7129,Private,1970,2004,Closed,40,40,,"4,500,516","112,398"
1777,Kapaa,,HI,Kapaa Quarry Road,Kailua,Honolulu,96734,21.4,-157.767,Public,1955,,Closed,,,,"4,500,000","10,010"
1169,Royalton Road Sanitary LF,Norton LF,OH,"9100 Market Place
3401 East Royalton Road",Broadview Heights,Cuyahoga,44147,41.3205,-81.6645,Private,1969,2004,Closed,,,"4,495,548","4,495,537","20,011"
764,Reich's Ford Road SLF,,MD,9031 Reichs Ford Road,Frederick,Frederick,21704,39.3754,-77.3528,Public,1969,2045,Open,126,62.5,"7,827,750","4,493,586","8,281"
12146,CWMI - KHF (MSW Landfill B-19),,CA,35251 Old Skyline Road,Kettleman City,Kings,93239,36.1003959,-120.0202964,Private,1998,2081,Open,43.4,,"18,734,615","4,489,583","218,589"
2191,Milner Butte Landfill,South Idaho Regional SW District LF (Milner),ID,1050 West 400 South,Burley,Cassia,83318,42.462,-114.005,Public,1994,2050,Open,58.2,,"17,462,989","4,487,390","260,042"
668,Oak Grove Landfill,Deffenbaugh,KS,1150 E 700th Avenue,Arcadia,Crawford,66711,37.62973,-94.64125,Private,1991,2030,Open,40,,"8,919,009","4,475,744","236,769"
10600,Bees Ferry Road Subtitle D LF,Charleston County Landfill,SC,1344 Bees Ferry Road,Charleston,Charleston,29414,32.81028,-80.10907,Public,1977,2043,Open,12,,"7,971,075","4,470,129","131,435"
1541,Davis County Landfill,Davis County Solid Waste Management SSD LF; Wasatch Integrated Waste Management District MSW Landfill; Davis Landfill,UT,"1997 E 3500 N
650 East Highway 193",Layton,Davis,84040,41.114,-111.931,Private,1953,2039,Open,14,,"9,670,454","4,456,109","315,841"
709,La Salle/Grant Parish SLF,,LA,Highway 127 N,Jena,La Salle,71342,31.795,-92.1912,Public,1986,2020,Closed,65.5,,"24,740,719","4,450,423","1,863"
1802,City of Port Arthur Landfill,Texas MSW #1815,TX,"4732 West Highway 73
2 miles W of Hazel Ave & Hwy 73 INT, 1 mile W of Taylor's Bayou",Beaumont,Jefferson,77705,29.87334,-94.07167,Public,1974,2096,Open,160,,"11,008,267","4,439,862","143,681"
2279,Swift Creek Environmental Landfill,,GA,4200 Davis Road,Macon,Bibb,31217,32.8235,-83.5176,Private,1980,2011,Closed,81.3,,"5,196,050","4,438,313","49,826"
2407,Timberline Trail Recycling & Disposal Facility,,WI,N4581 N. Hutchinson Road,Weyerhaeuser,Rusk,54895,45.45417,-91.35838,Private,1995,2035,Open,44,,"8,675,685","4,407,545","103,000"
2216,Sycamore Landfill,,WV,4301 Sycamore Ridge Road,Hurricane,Putnam,25526,38.3995,-82.025,Private,1990,2066,Open,32.4,118,"9,552,554","4,406,459","77,152"
1274,Wayne Township LF,Clinton County Landfill,PA,264 Landfill Lane,Lock Haven,Clinton,17745,41.1619,-77.345,Public,1974,2048,Open,108.2,,"18,808,679","4,402,952","212,081"
644,"Forest View Landfill, LLC",Forest View RDF,KS,4800 Kaw Drive,Kansas City,Wyandotte,66102,39.10407,-94.68839,Private,1985,2006,Closed,72.7,75,"4,398,903","4,398,898","199,950"
15,Eastern Area Landfill,,AL,2787 Alton Drive,Birmingham,Jefferson,35210,33.5978,-86.6288,Public,1974,2026,Open,48,,"4,469,515","4,394,836",814
20699,Turkey Run Landfill,,GA,7144 Lone Oak Road,Hogansville,Meriwether,30230,33.163696,-84.848925,Private,2010,2063,Open,35.4,,"28,845,477","4,390,210","766,026"
10961,South Cushman Landfill,Fairbanks North Star Borough S. Cushman Landfill,AK,455 Sanduri Street,Fairbanks,Fairbanks North Star,99701,64.80476,-147.70085,Public,1963,2067,Open,97.7,,"10,518,622","4,388,500","104,142"
